EmployeeKey,ParentEmployeeKey,EmployeeNationalIDAlternateKey,ParentEmployeeNationalIDAlternateKey,SalesTerritoryKey,FirstName,LastName,MiddleName,NameStyle,Title,HireDate,BirthDate,LoginID,EmailAddress,Phone,MaritalStatus,EmergencyContactName,EmergencyContactPhone,SalariedFlag,Gender,PayFrequency,BaseRate,VacationHours,SickLeaveHours,CurrentFlag,SalesPersonFlag,DepartmentName,StartDate,EndDate,Status
1,1,14417807,,1,Guy,Gilbert,R,false,Production Technician - WC60,2006-01-28 00:00:00,1981-11-12 00:00:00,adventure-works\guy1,guy1@adventure-works.com,320-555-0195,M,Guy Gilbert,320-555-0195,false,M,1,$12.45,21,30,true,false,Production,2006-01-28 00:00:00,,Current
2,1,253022876,,1,Kevin,Brown,F,false,Marketing Assistant,2006-08-26 00:00:00,1986-12-01 00:00:00,adventure-works\kevin0,kevin0@adventure-works.com,150-555-0189,S,Kevin Brown,150-555-0189,false,M,2,$13.4615,42,41,true,false,Marketing,2006-08-26 00:00:00,,Current
3,1,509647174,,1,Roberto,Tamburello,,false,Engineering Manager,2007-06-11 00:00:00,1974-06-12 00:00:00,adventure-works\roberto0,roberto0@adventure-works.com,212-555-0187,M,Roberto Tamburello,212-555-0187,true,M,2,$43.2692,2,21,true,false,Engineering,2007-06-11 00:00:00,,Current
4,1,112457891,,1,Rob,Walters,,false,Senior Tool Designer,2007-07-05 00:00:00,1974-07-23 00:00:00,adventure-works\rob0,rob0@adventure-works.com,612-555-0100,S,Rob Walters,612-555-0100,false,M,2,$29.8462,48,80,true,false,Tool Design,2007-07-05 00:00:00,2009-12-28 00:00:00,
5,1,112457891,,1,Rob,Walters,,false,Senior Tool Designer,2007-07-05 00:00:00,1974-07-23 00:00:00,adventure-works\rob0,rob0@adventure-works.com,612-555-0100,S,Rob Walters,612-555-0100,false,M,2,$29.8462,48,80,true,false,Tool Design,2009-12-28 00:00:00,,Current
6,1,480168528,,1,Thierry,D'Hers,B,false,Tool Designer,2007-07-11 00:00:00,1959-02-26 00:00:00,adventure-works\thierry0,thierry0@adventure-works.com,168-555-0183,M,Thierry D'Hers,168-555-0183,false,M,2,$25,9,24,true,false,Tool Design,2007-07-11 00:00:00,,Current
7,1,24756624,,1,David,Bradley,M,false,Marketing Manager,2007-07-20 00:00:00,1974-10-17 00:00:00,adventure-works\david0,david0@adventure-works.com,913-555-0172,S,David Bradley,913-555-0172,true,M,2,$37.5,40,40,true,false,Marketing,2007-07-20 00:00:00,2009-02-11 00:00:00,
8,1,24756624,,1,David,Bradley,M,false,Marketing Manager,2007-07-20 00:00:00,1974-10-17 00:00:00,adventure-works\david0,david0@adventure-works.com,913-555-0172,S,David Bradley,913-555-0172,true,M,2,$37.5,40,40,true,false,Marketing,2009-02-12 00:00:00,,Current
9,1,309738752,,1,JoLynn,Dobney,M,false,Production Supervisor - WC60,2007-07-26 00:00:00,1955-08-16 00:00:00,adventure-works\jolynn0,jolynn0@adventure-works.com,903-555-0145,S,JoLynn Dobney,903-555-0145,false,F,2,$25,82,61,true,false,Production,2007-07-26 00:00:00,,Current
10,1,690627818,,1,Ruth,Ellerbrock,Ann,false,Production Technician - WC10,2007-08-06 00:00:00,1956-01-03 00:00:00,adventure-works\ruth0,ruth0@adventure-works.com,145-555-0130,M,Ruth Ellerbrock,145-555-0130,false,F,1,$13.45,83,61,true,false,Production,2007-08-06 00:00:00,,Current
11,1,695256908,,1,Gail,Erickson,A,false,Design Engineer,2007-08-06 00:00:00,1952-04-27 00:00:00,adventure-works\gail0,gail0@adventure-works.com,849-555-0139,M,Gail Erickson,849-555-0139,true,F,2,$32.6923,5,22,true,false,Engineering,2007-08-06 00:00:00,,Current
12,1,912265825,,1,Barry,Johnson,K,false,Production Technician - WC10,2007-08-07 00:00:00,1955-10-25 00:00:00,adventure-works\barry0,barry0@adventure-works.com,206-555-0180,S,Barry Johnson,206-555-0180,false,M,1,$13.45,88,64,true,false,Production,2007-08-07 00:00:00,,Current
13,1,998320692,,1,Jossef,Goldberg,H,false,Design Engineer,2007-08-24 00:00:00,1958-10-09 00:00:00,adventure-works\jossef0,jossef0@adventure-works.com,122-555-0189,M,Jossef Goldberg,122-555-0189,true,M,2,$32.6923,6,23,true,false,Engineering,2007-08-24 00:00:00,,Current
14,1,245797967,,1,Terri,Duffy,Lee,false,Vice President of Engineering,2007-08-31 00:00:00,1971-03-01 00:00:00,adventure-works\terri0,terri0@adventure-works.com,819-555-0175,S,Terri Duffy,819-555-0175,true,F,2,$63.4615,1,20,true,false,Engineering,2007-08-31 00:00:00,,Current
15,1,844973625,,1,Sidney,Higa,M,false,Production Technician - WC10,2007-09-02 00:00:00,1956-03-30 00:00:00,adventure-works\sidney0,sidney0@adventure-works.com,424-555-0189,M,Sidney Higa,424-555-0189,false,M,1,$13.45,84,62,true,false,Production,2007-09-02 00:00:00,,Current
16,1,233069302,,1,Taylor,Maxwell,R,false,Production Supervisor - WC50,2007-09-08 00:00:00,1955-10-31 00:00:00,adventure-works\taylor0,taylor0@adventure-works.com,508-555-0165,M,Taylor Maxwell,508-555-0165,false,M,2,$25,79,59,true,false,Production,2007-09-08 00:00:00,,Current
17,1,132674823,,1,Jeffrey,Ford,L,false,Production Technician - WC10,2007-09-20 00:00:00,1956-02-09 00:00:00,adventure-works\jeffrey0,jeffrey0@adventure-works.com,984-555-0185,S,Jeffrey Ford,984-555-0185,false,M,1,$13.45,85,62,true,false,Production,2007-09-20 00:00:00,,Current
18,1,446466105,,1,Jo,Brown,A,false,Production Supervisor - WC60,2007-09-27 00:00:00,1956-05-08 00:00:00,adventure-works\jo0,jo0@adventure-works.com,632-555-0129,S,Jo Brown,632-555-0129,false,F,2,$25,80,60,true,false,Production,2007-09-27 00:00:00,,Current
19,1,565090917,,1,Doris,Hartwig,M,false,Production Technician - WC10,2007-10-09 00:00:00,1955-11-03 00:00:00,adventure-works\doris0,doris0@adventure-works.com,328-555-0150,M,Doris Hartwig,328-555-0150,false,F,1,$13.45,86,63,true,false,Production,2007-10-09 00:00:00,,Current
20,1,494170342,,1,John,Campbell,T,false,Production Supervisor - WC60,2007-10-16 00:00:00,1956-03-07 00:00:00,adventure-works\john0,john0@adventure-works.com,435-555-0113,M,John Campbell,435-555-0113,false,M,2,$25,81,60,true,false,Production,2007-10-16 00:00:00,,Current
21,1,9659517,,1,Diane,Glimp,R,false,Production Technician - WC10,2007-10-27 00:00:00,1955-10-28 00:00:00,adventure-works\diane0,diane0@adventure-works.com,202-555-0151,M,Diane Glimp,202-555-0151,false,F,1,$13.45,87,63,true,false,Production,2007-10-27 00:00:00,,Current
22,1,443968955,,1,Steven,Selikoff,T,false,Production Technician - WC30,2008-07-01 00:00:00,1976-12-12 00:00:00,adventure-works\steven0,steven0@adventure-works.com,925-555-0114,M,Steven Selikoff,925-555-0114,false,M,1,$9.5,41,40,true,false,Production,2008-07-01 00:00:00,,Current
23,1,277173473,,1,Peter,Krebs,J,false,Production Control Manager,2008-07-01 00:00:00,1982-06-03 00:00:00,adventure-works\peter0,peter0@adventure-works.com,913-555-0196,M,Peter Krebs,913-555-0196,true,M,2,$24.5192,43,41,true,false,Production Control,2008-07-01 00:00:00,,Current
24,1,835460180,,1,Stuart,Munson,V,false,Production Technician - WC45,2008-07-02 00:00:00,1962-04-13 00:00:00,adventure-works\stuart0,stuart0@adventure-works.com,413-555-0136,S,Stuart Munson,413-555-0136,false,M,1,$10,84,62,true,false,Production,2008-07-02 00:00:00,,Current
25,1,687685941,,1,Greg,Alderson,F,false,Production Technician - WC45,2008-07-02 00:00:00,1975-11-15 00:00:00,adventure-works\greg0,greg0@adventure-works.com,332-555-0150,S,Greg Alderson,332-555-0150,false,M,1,$10,85,62,true,false,Production,2008-07-02 00:00:00,,Current
26,1,498138869,,1,David,Johnson,N,false,Production Technician - WC30,2008-07-02 00:00:00,1979-06-02 00:00:00,adventure-works\david1,david1@adventure-works.com,166-555-0162,S,David Johnson,166-555-0162,false,M,1,$9.5,25,32,true,false,Production,2008-07-02 00:00:00,,Current
27,1,360868122,,1,Zheng,Mu,W,false,Production Supervisor - WC10,2008-07-03 00:00:00,1983-05-26 00:00:00,adventure-works\zheng0,zheng0@adventure-works.com,113-555-0173,S,Zheng Mu,113-555-0173,false,M,2,$25,66,53,true,false,Production,2008-07-03 00:00:00,,Current
28,1,964089218,,1,Ivo,Salmre,William,false,Production Technician - WC20,2008-07-04 00:00:00,1981-08-03 00:00:00,adventure-works\ivo0,ivo0@adventure-works.com,115-555-0179,M,Ivo Salmre,115-555-0179,false,M,1,$14,9,24,true,false,Production,2008-07-04 00:00:00,,Current
29,1,384162788,,1,Paul,Komosinski,B,false,Production Technician - WC40,2008-07-04 00:00:00,1980-06-13 00:00:00,adventure-works\paul0,paul0@adventure-works.com,147-555-0160,S,Paul Komosinski,147-555-0160,false,M,1,$15,68,54,true,false,Production,2008-07-04 00:00:00,,Current
30,1,749389530,,1,Ashvini,Sharma,R,false,Network Administrator,2008-07-04 00:00:00,1976-10-25 00:00:00,adventure-works\ashvini0,ashvini0@adventure-works.com,656-555-0119,S,Ashvini Sharma,656-555-0119,false,M,2,$32.4519,70,55,true,false,Information Services,2008-07-04 00:00:00,,Current
31,1,571658797,,1,Kendall,Keil,C,false,Production Technician - WC50,2008-07-05 00:00:00,1985-12-28 00:00:00,adventure-works\kendall0,kendall0@adventure-works.com,138-555-0128,M,Kendall Keil,138-555-0128,false,M,1,$11,11,25,true,false,Production,2008-07-05 00:00:00,,Current
32,1,535145551,,1,Paula,Barreto de Mattos,M,false,Human Resources Manager,2008-07-06 00:00:00,1975-09-11 00:00:00,adventure-works\paula0,paula0@adventure-works.com,523-555-0175,M,Paula Barreto de Mattos,523-555-0175,true,F,2,$27.1394,54,47,true,false,Human Resources,2008-07-06 00:00:00,,Current
33,1,761597760,,1,Alejandro,McGuel,E,false,Production Technician - WC40,2008-07-06 00:00:00,1988-07-05 00:00:00,adventure-works\alejandro0,alejandro0@adventure-works.com,668-555-0130,S,Alejandro McGuel,668-555-0130,false,M,1,$15,52,46,true,false,Production,2008-07-06 00:00:00,,Current
34,1,271438431,,1,Garrett,Young,R,false,Production Technician - WC30,2008-07-07 00:00:00,1984-03-25 00:00:00,adventure-works\garrett0,garrett0@adventure-works.com,609-555-0179,S,Garrett Young,609-555-0179,false,M,1,$9.5,34,37,true,false,Production,2008-07-07 00:00:00,,Current
35,1,160739235,,1,Jian Shuo,Wang,,false,Production Technician - WC30,2008-07-07 00:00:00,1983-02-24 00:00:00,adventure-works\jianshuo0,jianshuo0@adventure-works.com,952-555-0178,S,Jian Shuo Wang,952-555-0178,false,M,1,$9.5,36,38,true,false,Production,2008-07-07 00:00:00,,Current
36,1,586486572,,1,Susan,Eaton,W,false,Stocker,2008-07-07 00:00:00,1977-09-17 00:00:00,adventure-works\susan0,susan0@adventure-works.com,943-555-0196,S,Susan Eaton,943-555-0196,false,F,1,$9,97,68,true,false,Shipping and Receiving,2008-07-07 00:00:00,,Current
37,1,337752649,,1,Vamsi,Kuppa,N,false,Shipping and Receiving Clerk,2008-07-07 00:00:00,1976-10-16 00:00:00,adventure-works\vamsi0,vamsi0@adventure-works.com,937-555-0137,M,Vamsi Kuppa,937-555-0137,false,M,2,$9.5,95,67,true,false,Shipping and Receiving,2008-07-07 00:00:00,,Current
38,1,113695504,,1,Alice,Ciccu,O,false,Production Technician - WC50,2008-07-07 00:00:00,1977-08-26 00:00:00,adventure-works\alice0,alice0@adventure-works.com,333-555-0173,M,Alice Ciccu,333-555-0173,false,F,1,$11,95,67,true,false,Production,2008-07-07 00:00:00,,Current
39,1,276751903,,1,Simon,Rapier,D,false,Production Technician - WC60,2008-07-08 00:00:00,1989-12-15 00:00:00,adventure-works\simon0,simon0@adventure-works.com,963-555-0134,S,Simon Rapier,963-555-0134,false,M,1,$12.45,38,39,true,false,Production,2008-07-08 00:00:00,,Current
40,1,630184120,,1,Jinghao,Liu,K,false,Production Supervisor - WC50,2008-07-08 00:00:00,1988-09-05 00:00:00,adventure-works\jinghao0,jinghao0@adventure-works.com,794-555-0159,S,Jinghao Liu,794-555-0159,false,M,2,$25,77,58,true,false,Production,2008-07-08 00:00:00,,Current
41,1,545337468,,1,Michael,Hines,T,false,Production Technician - WC20,2008-07-09 00:00:00,1989-12-15 00:00:00,adventure-works\michael0,michael0@adventure-works.com,218-555-0126,S,Michael Hines,218-555-0126,false,M,1,$14,20,30,true,false,Production,2008-07-09 00:00:00,,Current
42,1,713403643,,1,Yvonne,McKay,S,false,Production Technician - WC45,2008-07-09 00:00:00,1988-11-13 00:00:00,adventure-works\yvonne0,yvonne0@adventure-works.com,286-555-0189,M,Yvonne McKay,286-555-0189,false,F,1,$10,79,59,true,false,Production,2008-07-09 00:00:00,,Current
43,1,885055826,,1,Peng,Wu,J,false,Quality Assurance Supervisor,2008-07-09 00:00:00,1975-10-17 00:00:00,adventure-works\peng0,peng0@adventure-works.com,164-555-0164,M,Peng Wu,164-555-0164,true,M,2,$21.6346,81,60,true,false,Quality Assurance,2008-07-09 00:00:00,,Current
44,1,441044382,,1,Jean,Trenary,E,false,Information Services Manager,2008-07-11 00:00:00,1975-07-13 00:00:00,adventure-works\jean0,jean0@adventure-works.com,685-555-0120,S,Jean Trenary,685-555-0120,true,F,2,$50.4808,65,52,true,false,Information Services,2008-07-11 00:00:00,,Current
45,1,718299860,,1,Russell,Hunter,,false,Production Technician - WC50,2008-07-12 00:00:00,1972-06-25 00:00:00,adventure-works\russell0,russell0@adventure-works.com,786-555-0144,M,Russell Hunter,786-555-0144,false,M,1,$11,6,23,true,false,Production,2008-07-12 00:00:00,,Current
46,1,685233686,,1,A. Scott,Wright,,false,Master Scheduler,2008-07-12 00:00:00,1968-04-17 00:00:00,adventure-works\ascott0,ascott0@adventure-works.com,992-555-0194,S,A. Scott Wright,992-555-0194,false,M,2,$23.5577,44,42,true,false,Production Control,2008-07-12 00:00:00,,Current
47,1,295971920,,1,Fred,Northup,T,false,Production Technician - WC40,2008-07-12 00:00:00,1989-01-23 00:00:00,adventure-works\fred0,fred0@adventure-works.com,818-555-0192,S,Fred Northup,818-555-0192,false,M,1,$15,47,43,true,false,Production,2008-07-12 00:00:00,,Current
48,1,95958330,,1,Sariya,Harnpadoungsataya,E,false,Marketing Specialist,2008-07-12 00:00:00,1986-12-19 00:00:00,adventure-works\sariya0,sariya0@adventure-works.com,399-555-0176,S,Sariya Harnpadoungsataya,399-555-0176,false,M,2,$14.4231,45,42,true,false,Marketing,2008-07-12 00:00:00,,Current
49,1,332040978,,1,Willis,Johnson,T,false,Recruiter,2008-07-13 00:00:00,1978-02-15 00:00:00,adventure-works\willis0,willis0@adventure-works.com,778-555-0141,S,Willis Johnson,778-555-0141,false,M,2,$18.2692,49,44,true,false,Human Resources,2008-07-13 00:00:00,,Current
50,1,857651804,,1,Jun,Cao,T,false,Production Technician - WC50,2008-07-14 00:00:00,1979-02-03 00:00:00,adventure-works\jun0,jun0@adventure-works.com,299-555-0113,S,Jun Cao,299-555-0113,false,M,1,$11,90,65,true,false,Production,2008-07-14 00:00:00,,Current
51,1,553069203,,1,Christian,Kleinerman,E,false,Maintenance Supervisor,2008-07-14 00:00:00,1975-08-18 00:00:00,adventure-works\christian0,christian0@adventure-works.com,846-555-0157,M,Christian Kleinerman,846-555-0157,true,M,2,$20.4327,92,66,true,false,Facilities and Maintenance,2008-07-14 00:00:00,,Current
52,1,351069889,,1,Susan,Metters,A,false,Production Technician - WC30,2008-07-14 00:00:00,1982-10-31 00:00:00,adventure-works\susan1,susan1@adventure-works.com,639-555-0164,S,Susan Metters,639-555-0164,false,F,1,$9.5,31,35,true,false,Production,2008-07-14 00:00:00,,Current
53,1,370989364,,1,Reuben,D'sa,H,false,Production Supervisor - WC40,2008-07-15 00:00:00,1987-03-27 00:00:00,adventure-works\reuben0,reuben0@adventure-works.com,191-555-0112,M,Reuben D'sa,191-555-0112,false,M,2,$25,72,56,true,false,Production,2008-07-15 00:00:00,,Current
54,1,275962311,,1,Kirk,Koenigsbauer,J,false,Production Technician - WC45,2008-07-15 00:00:00,1984-09-06 00:00:00,adventure-works\kirk0,kirk0@adventure-works.com,669-555-0150,S,Kirk Koenigsbauer,669-555-0150,false,M,1,$10,74,57,true,false,Production,2008-07-15 00:00:00,,Current
55,1,36151748,,1,David,Ortiz,J,false,Production Technician - WC60,2008-07-15 00:00:00,1984-07-29 00:00:00,adventure-works\david2,david2@adventure-works.com,712-555-0119,M,David Ortiz,712-555-0119,false,M,1,$12.45,33,36,true,false,Production,2008-07-15 00:00:00,,Current
56,1,540688287,,1,Tengiz,Kharatishvili,N,false,Control Specialist,2008-07-16 00:00:00,1989-11-26 00:00:00,adventure-works\tengiz0,tengiz0@adventure-works.com,910-555-0116,S,Tengiz Kharatishvili,910-555-0116,false,M,2,$16.8269,76,58,true,false,Document Control,2008-07-16 00:00:00,,Current
57,1,568596888,,1,Hanying,Feng,P,false,Production Technician - WC20,2008-07-16 00:00:00,1974-05-16 00:00:00,adventure-works\hanying0,hanying0@adventure-works.com,319-555-0139,S,Hanying Feng,319-555-0139,false,M,1,$14,15,27,true,false,Production,2008-07-16 00:00:00,,Current
58,1,918737118,,1,Kevin,Liu,H,false,Production Technician - WC40,2008-07-17 00:00:00,1985-07-25 00:00:00,adventure-works\kevin1,kevin1@adventure-works.com,714-555-0138,S,Kevin Liu,714-555-0138,false,M,1,$15,58,49,true,false,Production,2008-07-17 00:00:00,,Current
59,1,801758002,,1,Annik,Stahl,O,false,Production Technician - WC60,2008-07-17 00:00:00,1976-07-26 00:00:00,adventure-works\annik0,annik0@adventure-works.com,499-555-0125,M,Annik Stahl,499-555-0125,false,M,1,$12.45,17,28,true,false,Production,2008-07-17 00:00:00,,Current
60,1,415823523,,1,Suroor,Fatima,R,false,Production Technician - WC50,2008-07-17 00:00:00,1977-09-25 00:00:00,adventure-works\suroor0,suroor0@adventure-works.com,932-555-0161,S,Suroor Fatima,932-555-0161,false,M,1,$11,93,66,true,false,Production,2008-07-17 00:00:00,,Current
61,1,363923697,,1,Deborah,Poe,E,false,Accounts Receivable Specialist,2008-07-18 00:00:00,1975-10-05 00:00:00,adventure-works\deborah0,deborah0@adventure-works.com,602-555-0194,M,Deborah Poe,602-555-0194,false,F,2,$19,60,50,true,false,Finance,2008-07-18 00:00:00,,Current
62,1,674171828,,1,Jim,Scardelis,H,false,Production Technician - WC50,2008-07-19 00:00:00,1986-04-08 00:00:00,adventure-works\jim0,jim0@adventure-works.com,679-555-0113,M,Jim Scardelis,679-555-0113,false,M,1,$11,1,20,true,false,Production,2008-07-19 00:00:00,,Current
63,1,138280935,,1,Carole,Poland,M,false,Production Technician - WC30,2008-07-19 00:00:00,1983-05-19 00:00:00,adventure-works\carole0,carole0@adventure-works.com,688-555-0192,M,Carole Poland,688-555-0192,false,F,1,$9.5,42,41,true,false,Production,2008-07-19 00:00:00,,Current
64,1,476115505,,1,George,Li,Z,false,Production Technician - WC30,2008-07-21 00:00:00,1976-11-14 00:00:00,adventure-works\george0,george0@adventure-works.com,518-555-0199,M,George Li,518-555-0199,false,M,1,$9.5,26,33,true,false,Production,2008-07-21 00:00:00,,Current
65,1,502058701,,1,Gary,Yukish,W,false,Production Technician - WC40,2008-07-22 00:00:00,1987-12-15 00:00:00,adventure-works\gary0,gary0@adventure-works.com,901-555-0125,S,Gary Yukish,901-555-0125,false,M,1,$15,69,54,true,false,Production,2008-07-22 00:00:00,,Current
66,1,7201901,,1,Cristian,Petculescu,K,false,Production Supervisor - WC10,2008-07-22 00:00:00,1983-11-10 00:00:00,adventure-works\cristian0,cristian0@adventure-works.com,434-555-0133,M,Cristian Petculescu,434-555-0133,false,M,2,$25,67,53,true,false,Production,2008-07-22 00:00:00,,Current
